TITULO;IMAGEN;IDIOMA;AUTOR;ISBN;VALOR  NETO;GENERO;TIPO;PESO;MEDIDA;STOCK
AKU AKU;;ESP;THOR HEYERDAHL;978-956-9337-62-8;18000;HISTORIA, ARQUEOLOGIA, ANTROPOLOGIA;ENSAYO;0.9;16x21;0
AKU AKU (INGLES);;ING;THOR HEYERDAHL;978-956-9337-12-4;18000;HISTORIA, ARQUEOLOGIA, ANTROPOLOGIA;ENSAYO;1.9;16x21;0
CARTOGRAFÍA Y CONFLICTO EN RAPA NUI;;ESP;ROLF FORSTER / PAKARATI  /RAMIREZ;978-956-9337-04-8;18000;ARQUEOLOGIA, HISTORIA, POLÍTICA;ENSAYO;1.5;21x21;0
COSTUMBRES Y VIVENCIAS EN RAPA NUI;;ESP;FELIPE PAKARATI;978-956-9337-16-1;18000; ANTROPOLOGÍA, VIVENCIAS;ENSAYO;0.5;21x21;0
DICCIONARIO Y GRAMATICA DE LA LENGUA DE LA ISLA DE PASCUA;;ESP / RAPANUI;JORDI FUENTES;978-956-9337-16-2;25000;DICCIONARIO;ENSAYO;;21x16;0
DOMINACION Y DOMINIO;;;;;18000;;ENSAYO;0.5;21x17;0
EASTER ISLAND AND THE PACIFIC. CONGRESO ALEMANIA ;;ING;BURKHARD VOGT Y OTROS;978-956-9337-39-0;35000;HISTORIA, ARQUEOLOGIA, ANTROPOLOGIA;ENSAYO;2.8;29X22;0
EASTER ISLAND, EARTH ISLAND;;ING;PAUL BAHN Y JOHN FLENLEY;978-956-9337-30-7;18000;HISTORIA, ARQUEOLOGIA, ECOLOGIA;ENSAYO;0.8;21x21;0
EL CASO RAPA NUI;;ESP;CIRO COLOMBARA;978-956-9337-87-1;18000;HISTORIA, DERECHOS HUMANOS;ENSAYO;0.4;16x21;0
EL ARTE RUPESTRE DE RAPA NUI;;ESP;GEORGIA LEE / PAUL HORLEY;978-956-9337-45-1;30000;HISTORIA, ANTROPOLOGIA, ;ENSAYO;;35x25;0
EL HOMBRE QUE HIZO CAMINAR LAS ESTATUAS;;ESP;PAVEL PAVEL;978-956-9337-06-2;13000;HISTORIA, ARQUEOLOGIA, ANTROPOLOGIA;ENSAYO;0.4;16x21;0
EL MANUSCRITO DE PUA ARAHOA;;ESP / RAPANUI;JULIO HOTUS / JOSÉ MIGUEL RAMÍREZ;978-956-9337-56-7;18000;HISTORIA, ANTROPOLOGIA;ENSAYO;0.5;21x21;0
EL MANUTARA EN RAPA NUI;;ESP;ROBERTO ROJAS / HANS GUNDERMANN / DANIEL QUIROZ;978-956-9337-59-8;18000;HISTORIA, ANTROPOLOGIA, ;ENSAYO;0.3;21x21;0
EL MISTERIO DE ISLA DE PASCUA  ;;ESP;KATHERINE ROUTLEDGE;978-956-9337-17-8;18000;HISTORIA, ARQUEOLOGIA;ENSAYO;0.9;16x21;0
EL MOAI QUE HABLA / MEMORIAS DE MAMA PRIRU;;ESP / RAPANUI;IDA HUCKE ATAN / FERNANDA  LIZANA;978-956-9337-42-0;18000;BIOGRAFÍA, HISTORIA, ANTROPOLOGIA;ENSAYO;0.8;21x21;0
EL OBISPO EDWARDS Y RAPA NUI;;ESP;ROLF FORSTER / ALEJANDRA ALVEAR;978-956-9337-07-9;18000;HISTORIA, ARQUEOLOGIA, ANTROPOLOGIA;ENSAYO;0.8;21x21;0
ENTRE GIGANTES DE PIEDRA;;ESP;JO ANNE VAN TILBURG;978-956-9337-29-1;18000;BIOGRAFÍA;ENSAYO;0.9;21x21;0
ESCUELA Y MEMORIA EN RAPA NUI 1939-1967 (Tomo 1);;ESP;KON-TURI ATAN / JAVIER CORVALÁN;;25000;HISTORIA, ANTROPOLOGIA;ENSAYO;1.3;29X22;0
